,roll_thick,roll_width,corect_length,tcrop,hcrop,roll_length,len_crop,,,,,,,,,,,,,,i_length_slot,,,,,,,,,,,,,,,,,,,,,,,,,,,d_cut_width_i,
MC8000009095,40,2500,23560,0,0,24660,1100,0,0,395,2000,3177,93.887,93.888,93.888,0,0,A1,C,M,2,3177,3177,19.702,19.702,19.702,395,2000,3177,3177,3177,19.699,19.702,19.702,3177,19.699,0,395,2000,0,0,39.75,2560,19.699,0.8,-0.8,L,0,0
MC8000009094,40,2500,23560,0,0,24660,1100,0,0,395,2000,3177,93.887,93.888,93.888,0,0,A1,C,M,2,3177,3177,19.702,19.702,19.702,395,2000,3177,3177,3177,19.699,19.702,19.702,3177,19.699,0,395,2000,0,0,39.75,2560,19.699,0.8,-0.8,L,0,0
MC8000009093,40,2500,23560,0,0,24660,1100,0,0,395,2000,3177,93.887,93.888,93.888,0,0,A1,C,M,2,3177,3177,19.702,19.702,19.702,395,2000,3177,3177,3177,19.699,19.702,19.702,3177,19.699,0,395,2000,0,0,39.75,2560,19.699,0.8,-0.8,L,0,0
MC8000009092,40,2500,23560,0,0,24660,1100,0,0,395,2000,3177,93.887,93.888,93.888,0,0,A1,C,M,2,3177,3177,19.702,19.702,19.702,395,2000,3177,3177,3177,19.699,19.702,19.702,3177,19.699,0,395,2000,0,0,39.75,2560,19.699,0.8,-0.8,L,0,0
MC8000009091,90,2200,11700,0,0,12240,540,0,0,395,2000,3138,93.466,93.467,93.467,0,0,A1,C,M,1,3138,3138,19.46,19.46,19.46,395,2000,3138,3138,3138,19.456,19.46,19.46,3138,19.456,0,395,2000,0,0,89.6,2260,19.457,1.1,-1.1,L,0,0
MC8000009090,90,2200,11700,0,0,12240,540,0,0,395,2000,3138,93.466,93.467,93.467,0,0,A1,C,M,1,3138,3138,19.46,19.46,19.46,395,2000,3138,3138,3138,19.456,19.46,19.46,3138,19.456,0,395,2000,0,0,89.6,2260,19.457,1.1,-1.1,L,0,0
MC8000009088,100,2200,11273,0,0,11813,540,0,0,395,2000,3366,93.268,93.269,93.269,0,0,A1,C,M,1,3366,3366,20.874,20.874,20.874,395,2000,3366,3366,3366,20.873,20.874,20.874,3366,20.873,0,395,2000,0,0,99.6,2260,20.874,1.1,-1.1,L,0,0
MC8000009087,135,1950,12500,0,0,13060,560,0,0,395,2000,4448,93.666,93.665,93.665,0,0,A1,B,M,1,4448,4448,27.584,27.584,27.584,395,2000,4448,4448,4448,27.578,27.584,27.584,4448,27.578,0,395,2000,0,0,134.5,2000,27.578,1.4,-1.4,L,0,0
MC8000009086,60,2400,19456,0,0,20376,920,0,0,395,2000,3788,93.624,93.623,93.623,0,0,A1,T,M,2,3788,3788,23.491,23.491,23.491,395,2000,3788,3788,3788,23.491,23.491,23.491,3788,23.491,0,395,2000,0,0,59.7,2460,23.491,0.9,-0.9,L,0,0
MC8000009085,35,2200,22000,0,0,23000,1000,0,0,395,2000,2287,93.783,93.78,93.78,0,0,A1,T,M,2,2287,2287,14.183,14.183,14.183,395,2000,2287,2287,2287,14.18,14.183,14.183,2287,14.18,0,395,2000,0,0,34.75,2260,14.179,0.8,-0.8,L,0,0
