,roll_thick,roll_width,corect_length,tcrop,hcrop,roll_length,len_crop,,,,,,,,,,,,,,i_length_slot,,,,,,,,,,,,,,,,,,,,,,,,,,,d_cut_width_i,
MC8000003348,40,2200,23486,0,0,24386,900,0,0,395,2000,2774,94.342,94.342,94.342,0,0,A1,C,M,2,2774,2774,17.203,17.203,17.203,395,2000,2774,2774,2774,17.197,17.203,17.203,2774,17.197,0,395,2000,0,0,39.75,2260,17.197,0.8,-0.8,L,0,0
MC8000003347,40,2200,23486,0,0,24386,900,0,0,395,2000,2774,94.342,94.342,94.342,0,0,A1,C,M,2,2774,2774,17.203,17.203,17.203,395,2000,2774,2774,2774,17.197,17.203,17.203,2774,17.197,0,395,2000,0,0,39.75,2260,17.197,0.8,-0.8,L,0,0
MC8000003346,40,2200,23486,0,0,24386,900,0,0,395,2000,2774,94.342,94.342,94.342,0,0,A1,C,M,2,2774,2774,17.203,17.203,17.203,395,2000,2774,2774,2774,17.197,17.203,17.203,2774,17.197,0,395,2000,0,0,39.75,2260,17.197,0.8,-0.8,L,0,0
MC8000003345,40,2200,23486,0,0,24386,900,0,0,395,2000,2774,94.342,94.342,94.342,0,0,A1,C,M,2,2774,2774,17.203,17.203,17.203,395,2000,2774,2774,2774,17.197,17.203,17.203,2774,17.197,0,395,2000,0,0,39.75,2260,17.197,0.8,-0.8,L,0,0
MC8000003344,40,2200,23486,0,0,24386,900,0,0,395,2000,2774,94.342,94.342,94.342,0,0,A1,C,M,2,2774,2774,17.203,17.203,17.203,395,2000,2774,2774,2774,17.197,17.203,17.203,2774,17.197,0,395,2000,0,0,39.75,2260,17.197,0.8,-0.8,L,0,0
MC8000003648,45,2200,23364,0,0,24264,900,0,0,395,2000,3103,94.363,94.361,94.361,0,0,A1,C,M,2,3103,3103,19.243,19.243,19.243,395,2000,3103,3103,3103,19.242,19.243,19.243,3103,19.242,0,395,2000,0,0,44.7,2260,19.242,0.9,-0.9,L,0,0
MC8000003647,45,2200,23364,0,0,24264,900,0,0,395,2000,3103,94.363,94.361,94.361,0,0,A1,C,M,2,3103,3103,19.243,19.243,19.243,395,2000,3103,3103,3103,19.242,19.243,19.243,3103,19.242,0,395,2000,0,0,44.7,2260,19.242,0.9,-0.9,L,0,0
MC8000000016,50,2200,23200,0,0,24100,900,0,0,395,1800,3808,94.275,94.273,94.273,0,0,A1,C,M,2,3808,3808,21.254,21.254,21.254,395,1800,3808,3808,3808,21.25,21.254,21.254,3808,21.25,0,395,1800,0,0,49.7,2260,21.25,0.9,-0.9,L,0,0
MC8000004059,36,2500,23036,0,0,23936,900,0,0,395,2000,2773,94.642,94.644,94.644,0,0,A1,C,M,2,2773,2773,17.197,17.197,17.197,395,2000,2773,2773,2773,17.196,17.197,17.197,2773,17.196,0,395,2000,0,0,35.75,2560,17.196,0.8,-0.8,L,0,0
MC8000002487,40,2200,23000,0,0,23850,850,0,0,395,2000,2713,94.466,94.465,94.465,0,0,A1,C,M,2,2713,2713,16.825,16.825,16.825,395,2000,2713,2713,2713,16.819,16.825,16.825,2713,16.819,0,395,2000,0,0,39.75,2260,16.819,0.8,-0.8,L,0,0
MC8000002486,40,2200,23000,0,0,23850,850,0,0,395,2000,2713,94.466,94.465,94.465,0,0,A1,C,M,2,2713,2713,16.825,16.825,16.825,395,2000,2713,2713,2713,16.819,16.825,16.825,2713,16.819,0,395,2000,0,0,39.75,2260,16.819,0.8,-0.8,L,0,0
